                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1922,                 3.6808,                 2.0756,                0.68118,                0.49992,                0.64722,                0.49387,                 1.1708,                 2.0095,                 1.3913,             0.00010869,             0.00010869,             0.00010869
                      2,                 1.4522,                 2.6818,                 1.5917,                0.70882,                0.67215,                0.78569,                0.60152,                 1.0783,                 1.4603,                 1.2476,             0.00021751,             0.00021751,             0.00021751
                      3,                 1.1882,                 2.3607,                 1.4352,                0.69925,                0.81567,                0.85505,                0.69956,                0.80825,                 1.2659,                 1.1313,             0.00032414,             0.00032414,             0.00032414
                      4,                 1.0509,                 2.0928,                  1.328,                0.73818,                 0.7957,                0.86614,                 0.7063,                0.81901,                 1.1388,                 1.1144,             0.00032311,             0.00032311,             0.00032311
                      5,                0.99178,                   1.89,                 1.2787,                0.78241,                0.78093,                0.87471,                0.70592,                0.83644,                 1.1449,                 1.0857,             0.00032311,             0.00032311,             0.00032311
                      6,                 0.9106,                  1.751,                 1.2289,                0.70742,                0.86601,                0.86412,                0.70478,                0.87437,                 1.1863,                 1.0906,             0.00031981,             0.00031981,             0.00031981
                      7,                0.89745,                  1.678,                 1.2158,                0.81781,                0.77955,                0.89172,                0.74354,                0.75187,                0.99241,                 1.0304,             0.00031652,             0.00031652,             0.00031652
                      8,                0.89104,                 1.6081,                 1.2105,                0.81007,                0.80406,                0.88551,                0.73081,                 0.7881,                0.99077,                 1.0371,             0.00031322,             0.00031322,             0.00031322
                      9,                0.83871,                 1.5153,                 1.1723,                0.81994,                0.82758,                0.91214,                0.73063,                 0.8719,                0.93993,                 1.0597,             0.00030992,             0.00030992,             0.00030992
                     10,                0.84019,                  1.463,                  1.169,                0.76853,                0.85021,                0.89148,                0.70871,                0.89897,                0.88703,                 1.0809,             0.00030663,             0.00030663,             0.00030663
                     11,                0.81158,                 1.4226,                 1.1533,                0.77141,                0.84432,                0.90696,                0.75646,                0.78447,                0.84644,                 1.0133,             0.00030333,             0.00030333,             0.00030333
                     12,                0.80464,                 1.4007,                 1.1447,                0.84469,                0.83615,                0.92793,                0.74326,                0.86226,                0.83432,                 1.0556,             0.00030003,             0.00030003,             0.00030003
                     13,                0.79078,                 1.3489,                 1.1359,                 0.8125,                0.84589,                0.90647,                 0.7318,                0.89091,                0.92568,                   1.05,             0.00029674,             0.00029674,             0.00029674
                     14,                0.77022,                  1.276,                 1.1215,                0.81942,                0.85877,                0.92513,                0.77803,                0.76461,                0.86453,                 1.0011,             0.00029344,             0.00029344,             0.00029344
                     15,                0.77337,                 1.2526,                  1.113,                0.81926,                0.88337,                0.92995,                0.75653,                0.87132,                0.80718,                 1.0357,             0.00029014,             0.00029014,             0.00029014
                     16,                0.76891,                 1.2508,                 1.1225,                 0.8416,                0.84872,                0.91893,                0.73435,                0.91229,                 0.8021,                 1.0683,             0.00028685,             0.00028685,             0.00028685
                     17,                0.76204,                 1.2139,                 1.1118,                0.80536,                0.88051,                0.91548,                0.73754,                 0.8733,                0.82259,                 1.0319,             0.00028355,             0.00028355,             0.00028355
                     18,                0.77525,                 1.2094,                 1.1097,                0.83192,                0.88754,                0.93648,                0.77376,                0.80651,                0.76045,                0.99634,             0.00028025,             0.00028025,             0.00028025
                     19,                0.75706,                 1.1734,                 1.0998,                0.86824,                0.87012,                0.92728,                0.76808,                0.79267,                 0.7381,                0.99603,             0.00027696,             0.00027696,             0.00027696
                     20,                0.73464,                 1.1452,                 1.0905,                0.82982,                 0.8834,                0.92669,                0.75852,                0.82585,                0.72069,                 1.0085,             0.00027366,             0.00027366,             0.00027366
                     21,                0.74021,                 1.1401,                   1.09,                0.83771,                0.87507,                0.92929,                0.76298,                0.80498,                0.78626,                0.99178,             0.00027036,             0.00027036,             0.00027036
                     22,                0.73132,                 1.1148,                  1.086,                0.87034,                0.88296,                0.93958,                0.77515,                0.81033,                0.73556,                0.99658,             0.00026707,             0.00026707,             0.00026707
                     23,                0.73274,                 1.1446,                 1.0901,                0.85631,                0.86966,                 0.9412,                0.77732,                0.80243,                0.69649,                0.99442,             0.00026377,             0.00026377,             0.00026377
